latitude,longitude,altitude,geometry,No.,Name,Floor,X,Y,Z
-33.9156165109349,150.92917996590774,21.16,Point,1,R0330,GF,308559.038,6245267.961,21.16
-33.915622424993494,150.92894727322172,21.16,Point,2,R0330,GF,308537.536,6245266.871,21.16
-33.91569628224122,150.92913384429843,21.16,Point,3,R0330,GF,308554.952,6245259.028,21.16
-33.91579324787593,150.92929299137717,21.16,Point,4,R0330,GF,308569.884,6245248.571,21.16
-33.91583559258558,150.9291151260483,21.16,Point,5,R0330,GF,308553.533,6245243.543,21.16
-33.91585902100837,150.9289196460394,21.16,Point,6,R0330,GF,308535.511,6245240.58,21.16
-33.91594608741906,150.9291169078925,21.16,Point,7,R0330,GF,308553.945,6245231.292,21.16
-33.91581634677871,150.92936470010508,21.16,Point,8,R0330,GF,308576.566,6245246.143,21.16
-33.91500206491601,150.9293249524702,21.12,Point,9,R0352,GF,308571.069,6245336.376,21.12
-33.91500803356814,150.92906278878803,21.12,Point,10,R0352,GF,308546.842,6245335.225,21.12
-33.91510757539855,150.92929629151328,21.12,Point,11,R0352,GF,308568.655,6245324.621,21.12
-33.915101606259825,150.92955845551134,21.12,Point,12,R0352,GF,308592.882,6245325.772,21.12
-33.914813226835236,150.92912236845035,20.75,Point,13,R0359,GF,308551.915,6245356.941,20.75
-33.914813226835236,150.92912236845035,23.75,Point,13,R0359,F 1,308551.915,6245356.941,23.75
-33.914813226835236,150.92912236845035,26.75,Point,13,R0359,F 2,308551.915,6245356.941,26.75
-33.914813226835236,150.92912236845035,29.75,Point,13,R0359,F 3,308551.915,6245356.941,29.75
-33.914813226835236,150.92912236845035,32.75,Point,13,R0359,F 4,308551.915,6245356.941,32.75
-33.914813226835236,150.92912236845035,35.75,Point,13,R0359,F 5,308551.915,6245356.941,35.75
-33.91493609983175,150.92934704339595,20.75,Point,14,R0359,GF,308572.964,6245343.733,20.75
-33.91493609983175,150.92934704339595,23.75,Point,14,R0359,F 1,308572.964,6245343.733,23.75
-33.91493609983175,150.92934704339595,26.75,Point,14,R0359,F 2,308572.964,6245343.733,26.75
-33.91493609983175,150.92934704339595,29.75,Point,14,R0359,F 3,308572.964,6245343.733,29.75
-33.91493609983175,150.92934704339595,32.75,Point,14,R0359,F 4,308572.964,6245343.733,32.75
-33.91493609983175,150.92934704339595,35.75,Point,14,R0359,F 5,308572.964,6245343.733,35.75
-33.91485644140728,150.92960790738752,20.75,Point,15,R0359,GF,308596.906,6245353.054,20.75
-33.91485644140728,150.92960790738752,23.75,Point,15,R0359,F 1,308596.906,6245353.054,23.75
-33.91485644140728,150.92960790738752,26.75,Point,15,R0359,F 2,308596.906,6245353.054,26.75
-33.91485644140728,150.92960790738752,29.75,Point,15,R0359,F 3,308596.906,6245353.054,29.75
-33.91485644140728,150.92960790738752,32.75,Point,15,R0359,F 4,308596.906,6245353.054,32.75
